ident;iso_country;iata_code
KAVP;US;AVP
LPAR;PT;AVR
AGGJ;SB;AVU
YMAV;AU;AVV
KAVQ;US;AVW
KAVX;US;AVX
HALA;ET;AWA
PG-AWB;PG;AWB
NVVB;VU;AWD
AWE;GA;AWE
PWAK;UM;AWK
KAWM;US;AWM
YADS;AU;AWN
YAUS;AU;AWP
OIAW;IR;AWZ
TQPF;AI;AXA
89NY;US;AXB
YAMC;AU;AXC
LGAL;GR;AXD
SSXX;BR;AXE
AXF;CN;AXF
KAXA;US;AXG
RJDA;JP;AXJ
OYAT;YE;AXK
YALX;AU;AXL
SKAR;CO;AXM
KAXN;US;AXN
MYAP;BS;AXP
NTGU;PF;AXR
KAXS;US;AXS
RJSK;JP;AXT
HAAX;ET;AXU
KAXV;US;AXV
KAXX;US;AXX
SK-198;CO;AYA
SK-144;CO;AYC
AU-AYD;AU;AYD
SKYA;CO;AYG
SK-047;CO;AYI
UAUR;KZ;AYK
YANL;AU;AYL
AYM;AE;AYM
ZHAY;CN;AYN
SGAY;PY;AYO
SPHO;PE;AYP
YAYE;AU;AYQ
YAYR;AU;AYR
KAYS;US;AYS
LTAI;TR;AYT
AYU;PG;AYU
ID-AYW;ID;AYW
AYY;LK;AYY
KIWA;US;AZA
AZB;PG;AZB
OIYY;IR;AZD
MX-AZG;MX;AZG
OMAD;AE;AZI
SWTU;BR;AZL
UTKA;UZ;AZN
KAZO;US;AZO
MMJC;MX;AZP
DAUA;DZ;AZR
MDCY;DO;AZS
SK-392;CO;AZT
FNAM;AO;AZZ
PG-BAA;PG;BAA
KBAB;US;BAB
SK-272;CO;BAC
KBAD;US;BAD
LFMR;FR;BAE
KBAF;US;BAF
RPUB;PH;BAG
OBBI;BH;BAH
MRBA;CR;BAI
BAJ;PG;BAJ
LTCJ;TR;BAL
KBAM;US;BAM
FZVR;CD;BAN
VTED;TH;BAO
SKBQ;CO;BAQ
ZJQH;CN;BAR
AGGE;SB;BAS
SBBT;BR;BAT
SBBU;BR;BAU
ZBOW;CN;BAV
UNBB;RU;BAX
LRBM;RO;BAY
SWBC;BR;BAZ
SCBA;CL;BBA
KBBB;US;BBB
KBYY;US;BBC
KBBD;US;BBD
YBBE;AU;BBE
NGTU;KI;BBG
EDBH;DE;BBH
VEBS;IN;BBI
EDRB;DE;BBJ
FBKE;BW;BBK
YLLE;AU;BBL
VDBG;KH;BBM
WBGZ;MY;BBN
HCMI;SO;BBO
EGHJ;GB;BBP
TAPH;AG;BBQ
TFFB;GP;BBR
EGLK;GB;BBS
FEFT;CF;BBT
LRBS;RO;BBU
DIGN;CI;BBV
KBBW;US;BBW
KLOM;US;BBX
FEFM;CF;BBY
FLZB;ZM;BBZ
MUBA;CU;BCA
KBCB;US;BCB
Z48;US;BCC
RPVB;PH;BCD
KBCE;US;BCE
FEGU;CF;BCF
GY-BCG;GY;BCG
WPEC;TL;BCH
YBAR;AU;BCI
YBWR;AU;BCK
MRBC;CR;BCL
LRBC;RO;BCM
LEBL;ES;BCN
HABC;ET;BCO
BCP;PG;BCP
LY-BCQ;LY;BCQ
SWNK;BR;BCR
65LA;US;BCS
KBCT;US;BCT
DNBC;NG;BCU
BZ-BCV;BZ;BCV
BCW;MZ;BCW
UWUB;RU;BCX
BCZ;AU;BCZ
TXKF;BM;BDA
YBUD;AU;BDB
SNBC;BR;BDC
YBAU;AU;BDD
KBDE;US;BDE
3IS8;US;BDF
KBDG;US;BDG
OIBL;IR;BDH
FSSB;SC;BDI
WAOO;ID;BDJ
DIBU;CI;BDK
KBDL;US;BDL
LTBG;TR;BDM
OPTH;PK;BDN
WICC;ID;BDO
VNCG;NP;BDP
VABO;IN;BDQ
KBDR;US;BDR
LIBR;IT;BDS
FZFD;CD;BDT
ENDU;NO;BDU
FZRB;CD;BDV
YBDF;AU;BDW
K00F;US;BDX
KS05;US;BDY
BDZ;PG;BDZ
EGPL;GB;BEB
KBEC;US;BEC
KBED;US;BED
YBGB;AU;BEE
